AgeGroup,AvgHouseholdExpenseOnPresents,AvgMinSportsPerDay,BMI,DisciplineScore,HappinessScore,NrCousins,StepsPerYear,SyndromeClass,TimeOnSocialActivities,SexInt,BloodTypeInt
3.0,325.84403902200177,50.62758215511616,32.427058728592854,5.0,3.0,-1.9546108700989262,-0.8947937966223332,4.0,30.529936741329433,0,8
3.0,760.9657060327835,54.43833739680908,23.81299921633295,3.0,8.0,1.372685062481039,-0.7919651066645561,2.0,74.84256338985551,0,1
3.0,430.0301673750746,169.78560576033408,34.911841399707875,5.0,7.0,-0.8455122259056044,1.6234534617529195,3.0,5.32,0,0
3.3769889840881273,464.52915969896577,139.08066735219623,29.0,4.0,6.34875,-0.568237564857274,0.8767381797088052,2.0,46.35788532707817,0,0
2.0,555.1624740005581,140.64299293767795,31.35319627415105,3.0,6.0,-0.8455122259056044,-3.2745945150071183e-16,3.0,45.252531097560976,2,2
4.0,555.1624740005581,81.39778385187263,30.054925904714853,4.0,5.0,-0.568237564857274,-3.2745945150071183e-16,3.0,48.834968537701215,1,3
6.0,555.1624740005581,91.89227475130345,31.737459233247666,5.0,6.34875,-1.1227868869539348,-3.2745945150071183e-16,3.0,38.697837877649654,0,6
3.3769889840881273,548.0705497833267,142.09992740070743,30.537638531989174,5.0,7.0,-0.013688242760613116,1.0815534942787448,1.0,54.52464342959012,1,7
1.0,563.4504136988506,59.39123977897505,33.725161481765795,4.0,6.0,-0.013688242760613116,-0.6073478482831456,2.0,56.83887703518764,0,5
3.3769889840881273,268.2895923125899,95.36603250540276,34.286959624747126,5.0,4.0,-2.2318855311472565,-3.2745945150071183e-16,3.0,25.42498585086909,1,6
4.0,555.1624740005581,146.80713589747475,29.0,5.0,7.0,-0.2909629038089436,-3.2745945150071183e-16,5.0,49.684756438035,2,2
4.0,639.03514524253,22.106383022381593,29.0,1.0,6.0,0.5408610793360478,-1.5085076336926349,3.0,62.735435798355596,1,8
2.0,757.7020178441887,16.88324774568826,31.790601655328288,2.0,6.34875,1.372685062481039,-1.541099612777007,2.0,74.67947373759444,1,2
2.0,786.1697119696083,122.38381552599436,27.44348892684605,4.95,9.0,1.6499597235293695,-3.2745945150071183e-16,5.0,79.26262523146652,2,8
6.0,460.81411137166697,82.39339376632546,29.0,3.0,5.0,-0.8455122259056044,-0.3416113642089208,5.0,44.9723196975346,1,8
2.0,402.76393976341234,95.36603250540276,27.757231183431138,4.95,5.0,-1.1227868869539348,-0.04893257635946786,3.0,40.06973850952817,1,8
3.0,499.80182950913115,33.35597486475502,22.591091851759447,3.0,5.0,-0.2909629038089436,-1.2253088647338541,3.0,49.84958696233488,1,8
3.0,629.6367792260137,95.36603250540276,24.315564277922764,3.0,6.0,0.5408610793360478,-1.486421206558342,2.0,64.34272831637115,0,1
6.0,577.1347506144092,81.27693928104121,23.70921421982773,8.0,6.0,0.26358641828771734,-0.3001144862572149,4.0,5.32,0,3
2.0,820.7844282382553,182.75313513089333,27.92430522896405,3.0,10.0,1.9272343845777,1.8336119217358808,3.0,81.94473182530406,2,0
3.3769889840881273,555.1624740005581,17.011616403136227,29.0,8.0,5.0,9.85077481091176e-16,-1.6784716963190838,4.0,5.32,0,2
1.0,445.7771865776516,23.285617231887336,32.95641209161252,4.0,4.0,9.85077481091176e-16,-1.5488164813436083,2.0,44.49069448686664,1,6
3.0,345.44221847416435,95.36603250540276,26.02187009775011,7.0,3.0,-1.4000615480022653,-1.390730578940804,4.0,34.70233862134763,0,2
6.0,808.1127823141304,108.53115148459152,28.991169526529113,2.0,9.0,1.9272343845777,0.1970747450693422,5.0,80.68805626915967,1,1
3.3769889840881273,555.1624740005581,18.719022957075037,28.34814153302275,4.0,6.34875,1.0954104014327086,-1.4368333572661902,3.0,70.21687475061626,1,0
3.3769889840881273,254.29551727162763,182.90920191203827,38.0754357132552,4.0,6.0,-1.9546108700989262,1.9236234067559057,5.0,27.124222337780466,1,2
3.0,555.1624740005581,187.22856428584882,28.90894763461413,4.0,8.0,0.26358641828771734,2.0668089215271204,2.0,5.32,0,2
3.0,730.3042460866617,56.728281437756024,29.0,4.95,6.34875,1.372685062481039,-0.8524025902808815,5.0,72.99876010809659,2,6
5.0,672.7830066045491,95.36603250540276,32.15589627147076,3.0,7.0,0.8181357403843782,-3.2745945150071183e-16,2.0,5.32,1,0
3.0,642.6154920181613,95.36603250540276,21.925189836847785,4.95,6.0,0.8181357403843782,-3.2745945150071183e-16,2.0,5.32,1,2
7.0,308.9702197493891,63.79829178127925,29.0,6.0,3.0,-1.6773362090505957,-0.8445566280694627,1.0,30.659803050992398,2,1
7.0,555.1624740005581,116.99477288076143,29.0,7.0,5.0,-1.4000615480022653,0.5058062611977511,4.0,38.01680262660096,1,3
4.0,404.2015044696762,159.1693717849945,27.167054224676253,5.0,6.34875,-1.1227868869539348,1.3036715579605418,4.0,38.63537571838796,0,5
4.0,398.652827725035,17.11416986535929,28.06271769443603,6.0,4.0,9.85077481091176e-16,-3.2745945150071183e-16,4.0,39.63027827881234,1,0
3.0,529.8411837156925,123.07767863678913,29.824969377021265,5.0,6.0,-0.2909629038089436,0.6103904289634633,3.0,53.00395042841974,1,1
3.0,677.8181429193346,155.42775731223674,29.0,2.0,8.0,0.8181357403843782,1.3604569440265892,3.0,68.31119693845037,1,6
3.0,426.9341430635051,59.09276257829579,24.47908115827285,4.95,4.0,-0.8455122259056044,-0.8976872022863379,2.0,5.32,0,3
3.3769889840881273,776.755145631752,59.75068408459164,36.88459843468332,3.0,8.0,1.6499597235293695,-3.2745945150071183e-16,5.0,77.99099547197687,1,8
3.0,555.1624740005581,29.634338822560743,29.0,5.0,6.0,0.5408610793360478,-1.3293201473173102,3.0,5.32,2,1
3.0,313.51832778569843,110.1280561335428,25.19858719480304,6.0,4.0,-1.9546108700989262,0.32920251700686953,3.0,30.353792274008928,1,1
3.0,357.77036316125844,95.36603250540276,29.035295054915643,5.0,5.0,9.85077481091176e-16,0.9546177583872776,2.0,35.79627555690515,1,8
3.3769889840881273,304.81696430465286,135.42039001054354,31.899019600024193,5.0,6.34875,-1.9546108700989262,0.7772471395873125,2.0,5.32,1,3
3.0,555.1624740005581,51.793996279737996,25.592974781825372,6.0,3.0,-1.9546108700989262,-3.2745945150071183e-16,2.0,28.68256120480936,1,6
3.0,555.1624740005581,68.69651428055207,28.5537450765734,4.95,6.34875,1.9272343845777,-0.6049284173152921,2.0,5.32,1,4
4.0,555.1624740005581,80.96280140858775,29.57988800709393,4.95,6.34875,0.5408610793360478,-0.25949204539424287,5.0,64.45412351623843,0,8
2.0,484.93816010034897,135.81532553673378,31.687169449328408,5.0,6.0,-0.568237564857274,-3.2745945150071183e-16,3.0,46.931629008554744,1,7
6.0,498.97336539878717,80.2111719253664,31.82954933612203,5.0,5.0,-0.568237564857274,-0.32829085071114006,3.0,49.613036048744256,2,7
6.0,648.1150453484088,61.48894968228026,32.43457386335665,4.95,6.0,0.5408610793360478,-0.7596053725920363,1.0,63.7553893080996,1,1
4.0,720.4883306672676,134.68090872244306,26.00293259154182,5.0,8.0,1.0954104014327086,0.8549461239944751,5.0,71.82511182026148,0,7
6.0,555.1624740005581,55.75880439680368,23.19704783100679,4.0,6.34875,-0.568237564857274,-0.7926371003944898,2.0,45.87478894267689,1,3
4.0,229.44678961352366,107.66986076674057,29.0,5.0,4.0,-2.2318855311472565,0.20775423085297953,3.0,24.98238485222633,0,5
3.0,391.5957520944975,43.131798984491866,25.984818905563397,4.0,4.0,-1.1227868869539348,-0.9098251546817827,3.0,39.386478556287365,1,8
3.3769889840881273,764.956822539591,95.36603250540276,35.88553128796415,3.0,8.0,9.85077481091176e-16,-3.2745945150071183e-16,3.0,77.51953969665949,1,2
3.3769889840881273,403.1522004089254,95.36603250540276,30.924088025231274,4.95,6.34875,-1.1227868869539348,-1.4985958137441797,2.0,5.32,2,0
2.0,823.4621574468542,48.25690799296057,30.662143686711136,2.0,8.0,1.9272343845777,-0.9453796089187259,2.0,5.32,1,0
3.3769889840881273,555.1624740005581,135.05866894715228,34.57940782443696,4.95,10.0,9.85077481091176e-16,0.9141428224817192,2.0,86.89801092463856,0,2
3.0,555.1624740005581,136.86140519545071,27.52684266460847,5.0,8.0,1.372685062481039,0.8360685378051359,5.0,74.98573715851226,1,0
5.0,555.1624740005581,107.44820571815303,35.513385676624424,3.0,8.0,1.372685062481039,-3.2745945150071183e-16,3.0,75.30706711891442,0,5
3.0,669.7744038334066,25.519206324754386,34.289295905053294,3.0,6.0,0.8181357403843782,-3.2745945150071183e-16,2.0,5.32,1,4
3.3769889840881273,447.0724588508858,95.36603250540276,37.743368865435365,4.0,4.0,-0.8455122259056044,-1.3665332660135554,3.0,44.747269666630935,0,0
3.0,620.2052215590415,103.65225872422954,37.170036209351245,7.0,7.0,0.5408610793360478,0.2729949433985183,4.0,61.949940958919285,1,3
2.0,455.4432395173858,26.88033367593825,29.0,4.95,5.0,9.85077481091176e-16,-1.4809715431871897,2.0,47.10607053236129,2,4
3.3769889840881273,537.8132641259951,44.7016419122842,31.822815364960732,7.0,5.0,-0.013688242760613116,-1.0436917565033157,3.0,54.45924238346222,2,8
4.0,656.5398819452297,42.72971164628047,29.02357635004449,5.0,7.0,0.8181357403843782,-1.0528672187950652,2.0,66.37454769501153,0,7
3.0,398.4348892636354,10.817456847383747,34.6198268777931,4.95,4.0,-1.1227868869539348,-1.782462216397702,1.0,40.50257313005432,1,5
6.0,555.1624740005581,121.63605454559472,25.218417728753987,2.0,8.0,1.372685062481039,0.6702023790596474,2.0,76.1144005625699,1,8
4.0,871.2029198206923,120.5175161161023,29.07391444284885,5.0,9.0,2.2045090456260303,0.5080447886472352,2.0,5.32,2,5
2.0,858.0839040807222,156.0681733123836,27.675048023027223,4.0,10.0,2.2045090456260303,-3.2745945150071183e-16,2.0,86.03750967118059,1,2
6.0,483.75120749828193,84.26520417452717,29.357595125796017,7.0,5.0,-0.568237564857274,-0.2479820133579205,1.0,48.357560667868384,1,0
2.0,656.5086970933803,169.24419299699738,25.40933506599515,3.0,8.0,0.8181357403843782,1.5505030162785287,5.0,66.33693905946117,1,6
6.0,538.9442365426671,45.27691148781946,29.0,3.0,5.0,-0.2909629038089436,-1.0217817754353025,5.0,52.46143117060538,1,8
2.0,526.4599520939696,151.80628567726802,28.650589263557812,5.0,7.0,-0.2909629038089436,1.2085001035919893,2.0,52.758018521573,0,7
3.0,564.6405110848847,58.281540333813105,28.867801671589163,6.0,6.0,9.85077481091176e-16,-0.6810426441752218,4.0,54.74182820383851,0,6
3.3769889840881273,238.6285665388455,65.94079539942571,30.590713287886015,5.0,3.0,-2.2318855311472565,-0.6022368391818311,2.0,25.137734114394288,0,2
3.0,541.4611118545117,152.73650002890304,25.418282168704728,4.95,7.0,-0.2909629038089436,-3.2745945150071183e-16,2.0,5.32,1,5
2.0,555.1624740005581,173.95486011064784,25.64469575986083,4.0,6.34875,-0.2909629038089436,1.6824010338514344,4.0,52.66658968438274,1,4
3.0,596.3991915277908,173.13906894119899,29.0,5.0,8.0,0.26358641828771734,1.7750792849030115,3.0,59.667507740504476,1,5
2.0,716.4627862172252,108.28333812289965,33.20278390887012,3.0,8.0,1.0954104014327086,0.24762154900653882,2.0,72.17068914626765,1,1
3.3769889840881273,763.1108318694188,167.34371391269542,29.0,4.95,6.34875,1.6499597235293695,1.4414807449623324,2.0,77.25628658734928,2,8
2.0,709.4549671259462,84.01719268250403,23.218047140926608,3.0,7.0,1.0954104014327086,-3.2745945150071183e-16,5.0,71.15530428978886,0,6
3.3769889840881273,415.78394710782766,26.678606099561247,26.809755033315678,4.0,4.0,-0.8455122259056044,-1.4623731533596378,5.0,42.20914115123549,1,1
4.0,275.39696318016985,136.89413896435858,29.21256477037861,6.0,5.0,-1.9546108700989262,1.0336527853468875,4.0,28.184305742308226,0,8
2.0,409.890833170951,84.12729689636626,30.76308926641499,4.95,4.0,-1.1227868869539348,-3.2745945150071183e-16,2.0,39.338387048896735,1,1
3.0,549.3139692773445,112.58517220395409,23.33116735404941,4.95,7.0,-0.013688242760613116,-3.2745945150071183e-16,3.0,56.27402612262396,1,8
3.0,290.67366527273145,135.76411812681715,23.680905688909842,6.0,5.0,9.85077481091176e-16,1.0033080799411056,2.0,29.354891453589158,2,1
3.3769889840881273,555.1624740005581,47.57960072451746,27.185512515060157,4.0,6.34875,0.8181357403843782,-1.0323019524876393,5.0,5.32,2,8
3.3769889840881273,555.1624740005581,110.4002324507378,29.0,5.0,5.0,-0.8455122259056044,0.36547074416015574,1.0,5.32,0,0
3.0,487.72499302376616,46.24184056486662,28.93619088568521,5.0,5.0,9.85077481091176e-16,-3.2745945150071183e-16,2.0,5.32,2,3
